signature,count
"""ABCDBEDFBG""",9168
"""ABCDEBFDBG""",9168
"""ABCDBECFBG""",9168
"""ABCDEBDFBG""",9168
"""ABCDBECDBF""",5256
"""ABCDBCDEBF""",5256
"""ABCDEBDCBF""",5256
"""ABCDBEDCBF""",5256
"""ABCDEBDEBF""",5256
"""ABCDEBCDBF""",5256
"""ABCDBCEBCF""",5136
"""ABCDEBFDGH""",2904
"""ABCDEFCGEH""",2904
"""ABCDECDFCG""",2244
"""ABCDBEDBFG""",2244
"""ABCDECFDCG""",2244
"""ABCDBECBFG""",2244
"""ABCDECFECG""",2244
"""ABCDBCEBFG""",2244
"""ABCDBCDBCE""",1952
"""ABCDEFCDEG""",1584
"""ABCDEBCDFG""",1584
"""ABCDECDECF""",1584
"""ABCDBCDBEF""",1584
"""ABCDBACEBF""",672
"""ABCDBEDFBC""",672
"""ABCDBEDFBD""",672
"""ABCDBEDFBE""",672
"""ABCADBEABF""",672
"""ABCDBEDFBA""",672
"""ABCDEBFDEB""",672
"""ABCDEBADBF""",672
"""ABCDABCEAF""",672
"""ABCDEBDABF""",672
"""ABCDEBFDBE""",672
"""ABCDEBFDBF""",672
"""ABCABDAEBF""",672
"""ABCDBECFBC""",672
"""ABCDBECFBD""",672
"""ABCDBECFBE""",672
"""ABCDBECFBA""",672
"""ABCDEBFDCB""",672
"""ABCDBEDBFD""",672
"""ABCDEBFDBC""",672
"""ABCDEBFDBA""",672
"""ABCDABDEBF""",672
"""ABCDBEDABF""",672
"""ABCADCAECF""",672
"""ABCDBECBFC""",672
"""ABCDAECDAF""",672
"""ABCDBECABF""",672
"""ABCDBCEBFC""",672
"""ABCABDCEBF""",672
"""ABCDEBCDFB""",672
"""ABCADCEACF""",672
"""ABCDABEDBF""",672
"""ABCDAECBAF""",672
"""ABCADBAEBF""",672
"""ABCDBADEBF""",672
"""ABCDEBDFBA""",672
"""ABCDEBDFBD""",672
"""ABCDEBDFBC""",672
"""ABCDEBDFBE""",672
"""ABCDACEACF""",672
"""ABCDEBFDGB""",624
"""ABCDAECFAG""",624
"""ABCDBECDBE""",360
"""ABCDBECDBA""",360
"""ABCDBECDBC""",360
"""ABCADBACBE""",360
"""ABCABDCABE""",360
"""ABCDBACDBE""",360
"""ABCADCBACE""",360
"""ABCADBADBE""",360
"""ABCDABCDAE""",360
"""ABCADCABCE""",360
"""ABCDABCDBE""",360
"""ABCDBEDBED""",360
"""ABCDBCDEBA""",360
"""ABCDBCDEBC""",360
"""ABCDBCDEBD""",360
"""ABCDACBACE""",360
"""ABCDEBDCBE""",360
"""ABCDEBDCBD""",360
"""ABCDBEDBCD""",360
"""ABCDBCABCE""",360
"""ABCABDACBE""",360
"""ABCDBECBEC""",360
"""ABCDBADCBE""",360
"""ABCDEBDCBA""",360
"""ABCABCDBCE""",360
"""ABCABCDACE""",360
"""ABCADCADCE""",360
"""ABCDBECBDC""",360
"""ABCDABDCBE""",360
"""ABCDBEDCBD""",360
"""ABCDBEDCBE""",360
"""ABCDBEDCBA""",360
"""ABCABCADBE""",360
"""ABCDEBCDEB""",360
"""ABCDEBDEBC""",360
"""ABCDEBDEBD""",360
"""ABCDBCEBDC""",360
"""ABCDBCEBCD""",360
"""ABCDBCEBCE""",360
"""ABCDACDACE""",360
"""ABCABCADCE""",360
"""ABCDEBCDBC""",360
"""ABCDEBCDBE""",360
"""ABCDEBDEBA""",360
"""ABCDBCDBEC""",360
"""ABCDBCDABE""",360
"""ABCDEBCDBA""",360
"""ABCADBCABE""",360
"""ABCDABDABE""",360
"""ABCDBCDBED""",360
"""ABCDABEDFG""",264
"""ABCDACEAFG""",264
"""ABCDECFDGC""",264
"""ABCADBEAFG""",264
"""ABCDAECAFG""",264
"""ABCDEFCEGC""",264
"""ABCDECFEGC""",264
"""ABCADCEAFG""",264
"""ABCDEBADFG""",264
"""ABCDEFCGEF""",264
"""ABCDEFCGEC""",264
"""ABCDEFCGED""",264
"""ABCABCABCD""",256
"""ABCDBCDBCD""",256
"""ABCDECDFCE""",132
"""ABCDECDFCD""",132
"""ABCDECDFCB""",132
"""ABCDEFCEDC""",132
"""ABCDBADBEF""",132
"""ABCDEFCEFC""",132
"""ABCABDCBEF""",132
"""ABCDEFCDEC""",132
"""ABCDEFCDEF""",132
"""ABCDBCABEF""",132
"""ABCDECFDEC""",132
"""ABCDECFDCE""",132
"""ABCDECFDCF""",132
"""ABCDECFDCB""",132
"""ABCDACBAEF""",132
"""ABCDABCDEF""",132
"""ABCDECFEDC""",132
"""ABCDECFECD""",132
"""ABCDECFECF""",132
"""ABCABCDBEF""",132
"""ABCDBEDBAF""",132
"""ABCDECFECB""",132
"""ABCDBACBEF""",132
"""ABCABCDAEF""",132
"""ABCADBCAEF""",132
"""ABCADCBAEF""",132
"""ABCDBECBAF""",132
"""ABCDECDEFC""",132
"""ABCDBCEBAF""",132
"""ABCDACDAEF""",132
"""ABCABDABEF""",132
"""ABCDABCAEF""",132
"""ABCABCABDE""",88
"""ABCDBCDBAE""",88
"""ABCDECDECD""",88
"""ABCDECDECB""",88
"""ABCDEBADEB""",48
"""ABCADBEACB""",48
"""ABCDBACEBC""",48
"""ABCDBACEBD""",48
"""ABCDBACEBA""",48
"""ABCADBEABC""",48
"""ABCADBEABD""",48
"""ABCDACEAFC""",48
"""ABCDEBADFB""",48
"""ABCADBEABE""",48
"""ABCDAECABC""",48
"""ABCDAECAEC""",48
"""ABCABDCBEC""",48
"""ABCDEBADBE""",48
"""ABCDEBADBC""",48
"""ABCDEBADBA""",48
"""ABCDABCEAD""",48
"""ABCDABCEAC""",48
"""ABCDABCEAB""",48
"""ABCDAECADC""",48
"""ABCDEBADCB""",48
"""ABCABDAEBC""",48
"""ABCABDAEBD""",48
"""ABCABDAEBA""",48
"""ABCADCEADC""",48
"""ABCDAECFAE""",48
"""ABCDAECFAD""",48
"""ABCDAECFAC""",48
"""ABCDAECFAB""",48
"""ABCDABCDAB""",48
"""ABCDBADBED""",48
"""ABCADBEAFB""",48
"""ABCDAECAFC""",48
"""ABCDEBDABC""",48
"""ABCDEBDABE""",48
"""ABCDEBDABD""",48
"""ABCDBCABEC""",48
"""ABCDEBFDAB""",48
"""ABCADCEAFC""",48
"""ABCDBEDABD""",48
"""ABCDABDEBC""",48
"""ABCDBEDABE""",48
"""ABCDABDEBD""",48
"""ABCADBEADB""",48
"""ABCDABDEBA""",48
"""ABCDBEDABC""",48
"""ABCADCAECD""",48
"""ABCADCAECA""",48
"""ABCADCAECB""",48
"""ABCDBACBEC""",48
"""ABCDACBAEC""",48
"""ABCDAECDAE""",48
"""ABCDAECDAC""",48
"""ABCDAECDAB""",48
"""ABCDABCDEB""",48
"""ABCABCDBEC""",48
"""ABCDBECABC""",48
"""ABCABDCEBA""",48
"""ABCDBECABD""",48
"""ABCDBECABE""",48
"""ABCDBEDBAD""",48
"""ABCABDCEBD""",48
"""ABCABDCEBC""",48
"""ABCADCEABC""",48
"""ABCDABEDAB""",48
"""ABCADCEACB""",48
"""ABCADCEACD""",48
"""ABCADCEACE""",48
"""ABCADBCAEB""",48
"""ABCABCDAEC""",48
"""ABCDABEDBE""",48
"""ABCDABEDBC""",48
"""ABCDABEDBA""",48
"""ABCDAECBAC""",48
"""ABCABDABEA""",48
"""ABCADBAEBA""",48
"""ABCADBAEBC""",48
"""ABCADBAEBD""",48
"""ABCADCBAEC""",48
"""ABCDAECBAE""",48
"""ABCDAECBAD""",48
"""ABCDACDAEC""",48
"""ABCDBECBAC""",48
"""ABCDABEDCB""",48
"""ABCDBADEBD""",48
"""ABCDBADEBA""",48
"""ABCDBADEBC""",48
"""ABCDEBCDAB""",48
