signature,count
ABCDBECF,5136
ABCDEBDF,5136
ABCDBEDF,5136
ABCDEFCG,2244
ABCDEBFG,2244
ABCDBCDE,1952
ABCDECBF,880
ABCDEBFD,672
ABCDAECF,672
ABCDECDF,572
ABCDBCEF,572
ABCDEBDE,360
ABCDBACE,360
ABCDBECB,360
ABCDABDE,360
ABCDBECD,360
ABCDEBDC,360
ABCABDAE,360
ABCADCAE,360
ABCDEBCD,360
ABCDABCE,360
ABCDBCEB,360
ABCABDCE,360
ABCADBAE,360
ABCDBEDB,360
ABCDBADE,360
ABCDBEDC,360
ABCABCAD,256
ABCDBCDB,256
ABCADCEF,132
ABCDECFD,132
ABCDECFE,132
ABCDEFCB,132
ABCDACEF,132
ABCDEFCE,132
ABCDEFCD,132
ABCADBEF,132
ABCDABEF,132
ABCDEBAF,132
ABCDECBA,88
ABCABCDE,88
ABCDECDE,88
ABCADCEA,48
ABCDBECA,48
ABCDEBDA,48
ABCDACEA,48
ABCDABCD,48
ABCADBEA,48
ABCDEBAD,48
ABCDBEDA,48
ABCDABED,48
ABCDAECB,48
ABCDAECA,48
ABCDAECD,48
ABCDBADB,24
ABCADBCA,24
ABCADCAB,24
ABCDBACB,24
ABCDABDA,24
ABCDACBA,24
ABCDBACD,24
ABCDABDC,24
ABCABDAC,24
ABCABDAB,24
ABCADCBA,24
ABCADCAD,24
ABCABCDB,24
ABCABCDA,24
ABCDABCA,24
ABCADBAC,24
ABCABDCA,24
ABCDACDA,24
ABCDBCAB,24
ABCABCAB,24
ABCABDCB,24
ABCADBAD,24
ABCDBADC,24
ABCDBCDA,24
