signature,count
"""ABCDEFG""",436588
"""ABCDEBF""",46732
"""ABCDECF""",15226
"""ABCDBEF""",15226
"""ABCDBCE""",8038
"""ABCDEFD""",5190
"""ABCADEF""",5190
"""ABCDEFC""",5018
"""ABCDAEF""",5018
"""ABCDEBC""",3650
"""ABCDABE""",3650
"""ABCDEBA""",3650
"""ABCDEFA""",2292
"""ABCDECD""",2242
"""ABCDBAE""",2242
"""ABCDECB""",2242
"""ABCABDE""",2242
"""ABCDEAF""",2152
"""ABCDEFB""",2152
"""ABCDBCD""",1586
"""ABCABCD""",1586
"""ABCDACE""",1426
"""ABCADBE""",1426
"""ABCDEBD""",1426
"""ABCDBEC""",1426
"""ABCDBED""",1426
"""ABCADCE""",1426
"""ABCDAEC""",984
"""ABCDEAB""",960
"""ABCDECA""",928
"""ABCADEA""",928
"""ABCDBEA""",928
"""ABCDABC""",896
"""ABCADEC""",836
"""ABCADEB""",836
"""ABCDEAC""",836
"""ABCDEAD""",836
"""ABCDAEB""",836
"""ABCDAED""",836
"""ABCDACD""",560
"""ABCADBC""",560
"""ABCDBAC""",560
"""ABCDBAD""",560
"""ABCADBA""",560
"""ABCDABD""",560
"""ABCDACB""",560
"""ABCABDC""",560
"""ABCABDA""",560
"""ABCADCA""",560
"""ABCADCB""",560
"""ABCDBCA""",560
"""ABCABCA""",396
"""AB""",187
"""ABC""",146
"""ABCD""",64
"""ABCDE""",24
