signature,count
ABCDEFG,27806
ABCDEBF,15416
ABCDECF,8130
ABCDBEF,8130
ABCDBCE,5506
ABCDEFC,1902
ABCDAEF,1902
ABCDEBC,1536
ABCDABE,1536
ABCDEBA,1536
ABCDEFD,1448
ABCADEF,1448
ABCDEAF,1252
ABCDEFB,1252
ABCDECD,1150
ABCDBAE,1150
ABCDECB,1150
ABCABDE,1150
ABCDACE,990
ABCADBE,990
ABCDEBD,990
ABCDBEC,990
ABCDBED,990
ABCADCE,990
ABCDBCD,900
ABCABCD,900
ABCDAEC,804
ABCDEAB,800
ABCDECA,768
ABCADEA,768
ABCDBEA,768
ABCADEC,756
ABCADEB,756
ABCDEAC,756
ABCDEAD,756
ABCDAEB,756
ABCDAED,756
ABCDEFA,732
ABCDABC,528
ABCDACD,428
ABCADBC,428
ABCDBAC,428
ABCDBAD,428
ABCADBA,428
ABCDABD,428
ABCDACB,428
ABCABDC,428
ABCABDA,428
ABCADCA,428
ABCADCB,428
ABCDBCA,428
ABCABCA,234
AB,135
ABC,95
ABCD,42
ABCDE,4
