signature,count
"""ABCDECBF""",972
"""ABCDBCEF""",966
"""ABCDECDF""",966
"""ABCDBECF""",960
"""ABCDEBDF""",960
"""ABCDEBCF""",960
"""ABCDBEDF""",960
"""ABCDBCDE""",846
"""ABCABDEF""",844
"""ABCDEFDC""",844
"""ABCDEFDE""",844
"""ABCDBAEF""",844
"""ABCDBEFB""",840
"""ABCDBEFD""",840
"""ABCDBEFC""",840
"""ABCDACEF""",840
"""ABCDEFBA""",840
"""ABCDEFBE""",840
"""ABCDEFBD""",840
"""ABCDEFBC""",840
"""ABCDABEF""",840
"""ABCDEABF""",840
"""ABCDECFD""",840
"""ABCDECFE""",840
"""ABCDECFB""",840
"""ABCADEAF""",840
"""ABCADEBF""",840
"""ABCDEADF""",840
"""ABCDEBFE""",840
"""ABCDEBFC""",840
"""ABCDEBFD""",840
"""ABCADECF""",840
"""ABCDEACF""",840
"""ABCDAEBF""",840
"""ABCDECAF""",840
"""ABCDAEDF""",840
"""ABCDBEAF""",840
"""ABCDAECF""",840
"""ABCDEBAF""",840
"""ABCADCEF""",840
"""ABCDEFDB""",840
"""ABCDEFCB""",840
"""ABCDEFCE""",840
"""ABCDEFCD""",840
"""ABCADBEF""",840
"""ABCABCDE""",788
"""ABCDECBA""",788
"""ABCDECDE""",788
"""ABCDABDE""",780
"""ABCADCAE""",780
"""ABCDABCE""",780
"""ABCADCBE""",780
"""ABCDBCEB""",780
"""ABCDBCED""",780
"""ABCADBAE""",780
"""ABCDEBDE""",780
"""ABCDBECB""",780
"""ABCDACBE""",780
"""ABCDBECD""",780
"""ABCDEBDC""",780
"""ABCDEBCD""",780
"""ABCDEBCE""",780
"""ABCDACDE""",780
"""ABCDBCAE""",780
"""ABCDBEDB""",780
"""ABCDBEDC""",780
"""ABCDECBD""",780
"""ABCDECBE""",780
"""ABCABDAE""",780
"""ABCDECDB""",780
"""ABCABDCE""",780
"""ABCADBCE""",780
"""ABCDBACE""",780
"""ABCDBADE""",780
"""ABCDABEA""",720
"""ABCDEAFB""",720
"""ABCDEAFC""",720
"""ABCDEAFD""",720
"""ABCDEAFE""",720
"""ABCADEFA""",720
"""ABCADEFB""",720
"""ABCADEFC""",720
"""ABCADEFD""",720
"""ABCDACEB""",720
"""ABCDBEFA""",720
"""ABCDACEA""",720
"""ABCDACED""",720
"""ABCDBCEA""",720
"""ABCDABEC""",720
"""ABCDABED""",720
"""ABCDEFAE""",720
"""ABCDEFAD""",720
"""ABCDEFAC""",720
"""ABCDEFAB""",720
"""ABCDEACD""",720
"""ABCDEACB""",720
"""ABCABDEC""",720
"""ABCABDEB""",720
"""ABCABDEA""",720
"""ABCDAEFA""",720
"""ABCDEABD""",720
"""ABCDBECA""",720
"""ABCDAEFC""",720
"""ABCDEABE""",720
"""ABCDAEFB""",720
"""ABCDAEFD""",720
"""ABCDECFA""",720
"""ABCDEABC""",720
"""ABCDEBDA""",720
"""ABCADEBA""",720
"""ABCADEAB""",720
"""ABCADEAC""",720
"""ABCADEAD""",720
"""ABCADECA""",720
"""ABCADECB""",720
"""ABCADEBC""",720
"""ABCADEBD""",720
"""ABCDEBFA""",720
"""ABCDEADE""",720
"""ABCDEADB""",720
"""ABCDEADC""",720
"""ABCADECD""",720
"""ABCDEACE""",720
"""ABCDBEDA""",720
"""ABCDAEBD""",720
"""ABCDAEBA""",720
"""ABCDAEBC""",720
"""ABCDECAD""",720
"""ABCDECAB""",720
"""ABCDECAE""",720
"""ABCDEBCA""",720
"""ABCDBEAD""",720
"""ABCDAEDA""",720
"""ABCDAEDC""",720
"""ABCDAEDB""",720
"""ABCDBEAC""",720
"""ABCDBEAB""",720
"""ABCDECDA""",720
"""ABCDEBAD""",720
"""ABCDEBAE""",720
"""ABCDEBAC""",720
"""ABCDAECB""",720
"""ABCDAECA""",720
"""ABCDAECD""",720
"""ABCADCEA""",720
"""ABCADCEB""",720
"""ABCADCED""",720
"""ABCDEFDA""",720
"""ABCDEFCA""",720
"""ABCADBEA""",720
"""ABCADBEC""",720
"""ABCADBED""",720
"""ABCDBAED""",720
"""ABCDBAEC""",720
"""ABCDBAEB""",720
"""ABCDBCDB""",388
"""ABCABCAD""",388
"""ABCADCAB""",360
"""ABCDABDA""",360
"""ABCDABDC""",360
"""ABCADCBA""",360
"""ABCADCAD""",360
"""ABCDABCA""",360
"""ABCDABCD""",360
"""ABCADBAC""",360
"""ABCADCBD""",360
"""ABCADBAD""",360
"""ABCDBCDA""",360
"""ABCDACBA""",360
"""ABCDACBD""",360
"""ABCABCDB""",360
"""ABCABCDA""",360
"""ABCDACDA""",360
"""ABCDACDB""",360
"""ABCDBCAB""",360
"""ABCDBCAD""",360
"""ABCABDAC""",360
"""ABCABDAB""",360
"""ABCABDCA""",360
"""ABCABDCB""",360
"""ABCDBADB""",360
"""ABCADBCA""",360
"""ABCADBCD""",360
"""ABCDBACB""",360
"""ABCDBACD""",360
"""ABCDBADC""",360
"""ABCDBEFG""",248
"""ABCDEFDG""",248
"""ABCDEFBG""",240
"""ABCDECFG""",240
"""ABCDEBFG""",240
"""ABCDEFCG""",240
"""ABCADEFG""",140
"""ABCDEFGE""",140
"""ABCABCAB""",126
"""ABCDEAFG""",120
"""ABCDEFAG""",120
"""ABCDAEFG""",120
"""ABCDEFGD""",120
"""ABCDEFGC""",120
"""ABCDEFGB""",120
"""ABCDEFGH""",44
"""AB""",40
"""ABC""",23
"""ABCD""",6
