signature,count
ABCDBECFA,720
ABCDBEABE,720
ABCDBEABD,720
ABCDBEABC,720
ABCDEADEC,720
ABCDAECAE,720
ABCDAECAD,720
ABCDAECBA,720
ABCDAECBD,720
ABCADECDA,720
ABCADECDB,720
ABCADECDE,720
ABCDEAFDC,720
ABCDEAFDB,720
ABCDEAFDA,720
ABCDEAFDE,720
ABCDEAFCB,720
ABCDEAFCA,720
ABCDEAFCE,720
ABCDEAFCD,720
ABCADEAFE,720
ABCDEADBC,720
ABCADEAFB,720
ABCDEADBA,720
ABCADEAFC,720
ABCADEAFD,720
ABCDEADBE,720
ABCDBEAFE,720
ABCDBEAFD,720
ABCDBEAFC,720
ABCDBEAFB,720
ABCDEAFED,720
ABCDEAFEC,720
ABCDEAFEB,720
ABCDEAFEA,720
ABCDAECFE,720
ABCDAECFB,720
ABCDAECFA,720
ABCDAECFD,720
ABCADEADC,720
ABCADEADE,720
ABCDBEDCA,720
ABCDAEFBC,720
ABCDAEFBE,720
ABCDAEFBD,720
ABCDACDEA,720
ABCDACDEB,720
ABCDAEFCB,720
ABCDACDEC,720
ABCDAEFCA,720
ABCDAEFAE,720
ABCDAEFAB,720
ABCDAEFAD,720
ABCDAEFAC,720
ABCDAEFBA,720
ABCDABCED,720
ABCDABCEB,720
ABCDABCEA,720
ABCDBEDAE,720
ABCDBEDAC,720
ABCDBEDAB,720
ABCDBEFDA,720
ABCDABEFD,720
ABCDEFACF,720
ABCDEFACE,720
ABCDAEDBE,720
ABCDACBEC,720
ABCDAEDCB,720
ABCDACBED,720
ABCDAEDCA,720
ABCDACBEA,720
ABCDEFADC,720
ABCDEFADB,720
ABCDEFADE,720
ABCDBEDFA,720
ABCDEFABE,720
ABCDEFABD,720
ABCDEFABF,720
ABCDAEDAC,720
ABCDAEDAE,720
ABCDAEDBA,720
ABCDAEDBC,720
ABCDEFACB,720
ABCDEFACD,720
ABCDAEFDE,720
ABCDAEDAB,720
ABCDEFADF,720
ABCDAEFCD,720
ABCDAEFCE,720
ABCDAEFDA,720
ABCDAEFDC,720
ABCDAEFDB,720
ABCDEFAED,720
ABCDEFAEC,720
ABCDEFAEF,720
ABCDEFAEB,720
ABCDABEAB,720
ABCDABEAD,720
ABCDABEAC,720
ABCADBEDC,720
ABCADBEDB,720
ABCADBEDA,720
ABCDEFCDA,720
ABCADBECB,720
ABCADBECA,720
ABCDBADEC,720
ABCDBADEB,720
ABCADBECD,720
ABCDBADEA,720
ABCDEFABC,720
ABCDEFCEA,720
ABCADBEAD,720
ABCADBEAC,720
ABCADBEAB,720
ABCDBEFCA,720
ABCDBCDEA,720
ABCADEFAC,720
ABCADEFAD,720
ABCADEFAE,720
ABCDABEFC,720
ABCDABEFB,720
ABCDABEFA,720
ABCADEFAB,720
ABCDEBAFD,720
ABCDEBAFE,720
ABCDABEDC,720
ABCDABEDB,720
ABCDBEFAC,720
ABCDBEFAB,720
ABCDECBFA,720
ABCDBEFAE,720
ABCDBEFAD,720
ABCDEFCAF,720
ABCDEFCAE,720
ABCDEFCAB,720
ABCDEFCAD,720
ABCDABECD,720
ABCDABECB,720
ABCDABECA,720
ABCADBEFD,720
ABCADBEFC,720
ABCADBEFB,720
ABCDABEDA,720
ABCADBEFA,720
ABCADEFDA,720
ABCADEFDB,720
ABCADEFDC,720
ABCADEFDE,720
ABCDECABE,720
ABCDECABC,720
ABCDECABD,720
ABCADEFCE,720
ABCADEFCA,720
ABCADEFCB,720
ABCADEFCD,720
ABCADEFBD,720
ABCADEFBE,720
ABCADBCED,720
ABCADBCEB,720
ABCADBCEA,720
ABCADEFBA,720
ABCADEFBC,720
ABCDEACFD,720
ABCDEACFB,720
ABCDEACFA,720
ABCDEBDEA,720
ABCDEACFE,720
ABCDBAEDA,720
ABCABDEAB,720
ABCDBAEDC,720
ABCABDEAC,720
ABCDBAEDB,720
ABCABDEAD,720
ABCADEBAC,720
ABCADEBAD,720
ABCADEBAE,720
ABCDEACEB,720
ABCDEACEA,720
ABCDEACED,720
ABCABDEBC,720
ABCABDEBD,720
ABCDBAECB,720
ABCDBAECA,720
ABCDBAECD,720
ABCABDEBA,720
ABCADCBED,720
ABCADCBEC,720
ABCADCBEA,720
ABCDBAEBA,720
ABCDBAEBC,720
ABCDBAEBD,720
ABCDEBDFA,720
ABCADBAED,720
ABCADBAEC,720
ABCADBAEB,720
ABCDEBDAB,720
ABCDEBDAC,720
ABCABDEFA,720
ABCDEACBD,720
ABCADEBFA,720
ABCDEBFEA,720
ABCDEACBA,720
ABCADEBFC,720
ABCDEACBE,720
ABCDEBDAE,720
ABCDAEBCD,720
ABCDAEBCE,720
ABCDAEBCA,720
ABCDEBFDA,720
ABCDAEBAE,720
ABCDAEDFE,720
ABCDAEDFA,720
ABCDAEDFC,720
ABCDAEDFB,720
ABCADEBDC,720
ABCADEBDE,720
ABCABDEFB,720
ABCABDEFC,720
ABCABDEFD,720
ABCDEACDB,720
ABCDEACDA,720
ABCDEACDE,720
ABCADEBDA,720
ABCDEBDCA,720
ABCDAEBAD,720
ABCDAEBAC,720
ABCADEBCA,720
ABCABDECD,720
ABCADEBCD,720
ABCADEBCE,720
ABCABDECA,720
ABCABDECB,720
ABCDAEDCE,720
ABCABCDEC,720
ABCABCDEB,720
ABCABCDEA,720
ABCDEBFAB,720
ABCDEBFAC,720
ABCDEBFAD,720
ABCDEBFAE,720
ABCABDCED,720
ABCDAEBFC,720
ABCDBCAEC,720
ABCDBCAED,720
ABCDBECAE,720
ABCDBECAD,720
ABCDEFBAF,720
ABCDEFBAC,720
ABCDBACEB,720
ABCDEFBAE,720
ABCDBACEA,720
ABCDEFBAD,720
ABCADCEAB,720
ABCADCEAC,720
ABCADCEAD,720
ABCDEFDEA,720
ABCDBCEAB,720
ABCDBCEAC,720
ABCDBCEAD,720
ABCDBAEFC,720
ABCDBAEFB,720
ABCDEFBDA,720
ABCDBAEFD,720
ABCDBAEFA,720
ABCDEFBCA,720
ABCDEFDAE,720
ABCDEFDAF,720
ABCDECADC,720
ABCDEFDAC,720
ABCDECADE,720
ABCDEFDAB,720
ABCDACEBA,720
ABCDACEBC,720
ABCDACEBD,720
ABCDECAEB,720
ABCDECAEC,720
ABCDBCEFA,720
ABCDACEAD,720
ABCDACEAB,720
ABCDACEAC,720
ABCDECADB,720
ABCADCEDA,720
ABCADCEDB,720
ABCADCEDC,720
ABCDECAFE,720
ABCDECAED,720
ABCDBCEDA,720
ABCADCEBC,720
ABCADCEBD,720
ABCDBACED,720
ABCDECAFB,720
ABCDEFDCA,720
ABCDECAFC,720
ABCDECAFD,720
ABCADCEBA,720
ABCDEBACE,720
ABCDEBACB,720
ABCDEBACD,720
ABCDECBAC,720
ABCDECBAD,720
ABCDECBAE,720
ABCDECDEA,720
ABCDECDFA,720
ABCDEBAEC,720
ABCDEBAED,720
ABCDEBAFB,720
ABCDECBEA,720
ABCDEBAFC,720
ABCDEBADB,720
ABCDEBADC,720
ABCDEBADE,720
ABCADCEFA,720
ABCDEBAEB,720
ABCDECBDA,720
ABCADCEFB,720
ABCADCEFC,720
ABCADCEFD,720
ABCDEABDC,720
ABCDEABDA,720
ABCDEABDE,720
ABCADCAED,720
ABCADCAEC,720
ABCADCAEB,720
ABCDEABCA,720
ABCDECDAB,720
ABCDECDAC,720
ABCDEABCE,720
ABCDEABCD,720
ABCDECFEA,720
ABCDECDAE,720
ABCADECBA,720
ABCADECBD,720
ABCADECBE,720
ABCDEABFE,720
ABCDEABFD,720
ABCDEABFC,720
ABCDEBCEA,720
ABCDEBCFA,720
ABCADECAB,720
ABCADECAD,720
ABCADECAE,720
ABCDEABED,720
ABCDEABEC,720
ABCDEABEA,720
ABCDEBCDA,720
ABCDEABFA,720
ABCADEADB,720
ABCADEACB,720
ABCADEACD,720
ABCADEACE,720
ABCDBEADC,720
ABCDBEADB,720
ABCDECFAB,720
ABCDEADCB,720
ABCDBEADE,720
ABCDEADCA,720
ABCDEADCE,720
ABCDECFAC,720
ABCDECFAD,720
ABCDECFAE,720
ABCDAECDE,720
ABCDAECDB,720
ABCDAECDA,720
ABCADECFD,720
ABCADEABC,720
ABCADECFE,720
ABCADEABD,720
ABCADEABE,720
ABCDEADFC,720
ABCDBEACB,720
ABCABCABD,388
ABCDBCDBC,388
ABCDBCDBA,388
ABCDBCABD,360
ABCDBCABC,360
ABCABDACD,360
ABCDBCADB,360
ABCDBCADC,360
