signature,count
ABCDEFGH,694690
ABCDBEFG,64804
ABCDEFDG,64804
ABCDEBFG,42432
ABCDEFCG,42432
ABCDEFBG,25792
ABCDAEFG,20258
ABCDEFGD,20258
ABCDEFAG,15020
ABCDEFGB,15020
ABCDECBF,13540
ABCDECFG,9744
ABCDBCEF,8391
ABCDECDF,8391
ABCDBCDE,8038
ABCADEFG,6256
ABCDEFGE,6256
ABCDEBCF,5856
ABCDBECF,5828
ABCDEBDF,5828
ABCDBEDF,5828
ABCABDEF,5190
ABCDEFDC,5190
ABCDEFDE,5190
ABCDBAEF,5190
ABCDABEF,5018
ABCDEBAF,5018
ABCDEFCB,5018
ABCDEFCD,5018
ABCDABCE,3650
ABCDEBCD,3650
ABCDBEFB,3056
ABCADEAF,3056
ABCDEBFD,2370
ABCDAECF,2370
ABCDEFAB,2292
ABCABCDE,2242
ABCDECBA,2242
ABCDECDE,2242
ABCDEFBA,2152
ABCDEFBC,2152
ABCDEABF,2152
ABCDACEF,1778
ABCDECFD,1778
ABCDECFE,1778
ABCADCEF,1778
ABCDEFCE,1778
ABCADBEF,1778
ABCDBCDB,1586
ABCABCAD,1586
ABCDECFB,1558
ABCDECAF,1558
ABCDBEAF,1558
ABCDEFDB,1558
ABCDEAFG,1514
ABCDEFGC,1514
ABCDABDE,1426
ABCADCAE,1426
ABCDBCEB,1426
ABCADBAE,1426
ABCDEBDE,1426
ABCDBECB,1426
ABCDBECD,1426
ABCDEBDC,1426
ABCDBEDB,1426
ABCDBEDC,1426
ABCABDAE,1426
ABCABDCE,1426
ABCDBACE,1426
ABCDBADE,1426
ABCDBEFD,1247
ABCDBEFC,1247
ABCDEFBE,1247
ABCDEFBD,1247
ABCADEBF,1247
ABCDEADF,1247
ABCDEBFE,1247
ABCDEBFC,1247
ABCADECF,1247
ABCDEACF,1247
ABCDAEBF,1247
ABCDAEDF,1247
ABCADCBE,1158
ABCDBCED,1158
ABCDACBE,1158
ABCDEBCE,1158
ABCDACDE,1158
ABCDBCAE,1158
ABCDECBD,1158
ABCDECBE,1158
ABCDECDB,1158
ABCADBCE,1158
ABCADEFD,1016
ABCDABED,984
ABCDEBAD,984
ABCDAECB,984
ABCDAECD,984
ABCDEABC,960
ABCABDEB,928
ABCADEAB,928
ABCADEAC,928
ABCADEAD,928
ABCDECAB,928
ABCDBEAB,928
ABCDBAEB,928
ABCADEFA,912
ABCDBEFA,912
ABCDAEFA,912
ABCDECFA,912
ABCDEBFA,912
ABCDEFDA,912
ABCDEFCA,912
ABCDABCD,896
ABCDACEA,840
ABCDBECA,840
ABCDEBDA,840
ABCDBEDA,840
ABCDAECA,840
ABCADCEA,840
ABCADBEA,840
ABCDABEA,836
ABCDBCEA,836
ABCDABEC,836
ABCDEACD,836
ABCDEACB,836
ABCABDEC,836
ABCABDEA,836
ABCDEABD,836
ABCDEABE,836
ABCADEBA,836
ABCADECA,836
ABCADECB,836
ABCADEBC,836
ABCDEADE,836
ABCDEADC,836
ABCDAEBA,836
ABCDAEBC,836
ABCDEBCA,836
ABCDAEDA,836
ABCDAEDC,836
ABCDECDA,836
ABCDEBAE,836
ABCDEBAC,836
ABCDBAED,836
ABCDBAEC,836
ABCDEFAD,804
ABCDAEFB,804
ABCDAEFD,804
ABCDACEB,782
ABCDACED,782
ABCADEBD,782
ABCDEADB,782
ABCADECD,782
ABCDEACE,782
ABCDAEBD,782
ABCDECAD,782
ABCDECAE,782
ABCDBEAD,782
ABCDAEDB,782
ABCDBEAC,782
ABCADCEB,782
ABCADCED,782
ABCADBEC,782
ABCADBED,782
ABCDEAFC,764
ABCDEAFD,764
ABCDAEFC,764
ABCDEAFB,760
ABCDEAFE,760
ABCADEFB,760
ABCADEFC,760
ABCDEFAE,760
ABCDEFAC,760
ABCADCAB,560
ABCDABDA,560
ABCDABDC,560
ABCADCBA,560
ABCADCAD,560
ABCDABCA,560
ABCADBAC,560
ABCADBAD,560
ABCDBCDA,560
ABCDACBA,560
ABCABCDB,560
ABCABCDA,560
ABCDACDA,560
ABCDBCAB,560
ABCABDAC,560
ABCABDAB,560
ABCABDCA,560
ABCABDCB,560
ABCDBADB,560
ABCADBCA,560
ABCDBACB,560
ABCDBACD,560
ABCDBADC,560
ABCADCBD,480
ABCDACBD,480
ABCDACDB,480
ABCDBCAD,480
ABCADBCD,480
ABCDEFGA,448
ABCABCAB,396
AB,187
ABC,146
ABCD,64
ABCDE,24
