signature,count
ABCDEFGH,30026
ABCDBEFG,17376
ABCDEFDG,17376
ABCDEBFG,10790
ABCDEFCG,10790
ABCDEFBG,10200
ABCDBCDE,5506
ABCDBCEF,4577
ABCDECDF,4577
ABCDBECF,4460
ABCDEBDF,4460
ABCDBEDF,4460
ABCDECBF,3880
ABCDEBCF,3106
ABCDECFG,2644
ABCDBEFB,1928
ABCADEAF,1928
ABCDABEF,1902
ABCDEBAF,1902
ABCDEFCB,1902
ABCDEFCD,1902
ABCDAEFG,1568
ABCDEFGD,1568
ABCDABCE,1536
ABCDEBCD,1536
ABCABDEF,1448
ABCDEFDC,1448
ABCDEFDE,1448
ABCDBAEF,1448
ABCDEFBA,1252
ABCDEFBC,1252
ABCDEABF,1252
ABCDEBFD,1176
ABCDAECF,1176
ABCABCDE,1150
ABCDECBA,1150
ABCDECDE,1150
ABCDECFB,1092
ABCDECAF,1092
ABCDBEAF,1092
ABCDEFDB,1092
ABCDBEFD,1032
ABCDBEFC,1032
ABCDEFBE,1032
ABCDEFBD,1032
ABCADEBF,1032
ABCDEADF,1032
ABCDEBFE,1032
ABCDEBFC,1032
ABCADECF,1032
ABCDEACF,1032
ABCDAEBF,1032
ABCDAEDF,1032
ABCDABDE,990
ABCADCAE,990
ABCDBCEB,990
ABCADBAE,990
ABCDEBDE,990
ABCDBECB,990
ABCDBECD,990
ABCDEBDC,990
ABCDBEDB,990
ABCDBEDC,990
ABCABDAE,990
ABCABDCE,990
ABCDBACE,990
ABCDBADE,990
ABCDACEF,944
ABCDECFD,944
ABCDECFE,944
ABCADCEF,944
ABCDEFCE,944
ABCADBEF,944
ABCDBCDB,900
ABCABCAD,900
ABCADCBE,828
ABCDBCED,828
ABCDACBE,828
ABCDEBCE,828
ABCDACDE,828
ABCDBCAE,828
ABCDECBD,828
ABCDECBE,828
ABCDECDB,828
ABCADBCE,828
ABCDABED,804
ABCDEBAD,804
ABCDAECB,804
ABCDAECD,804
ABCDEABC,800
ABCABDEB,768
ABCADEAB,768
ABCADEAC,768
ABCADEAD,768
ABCDECAB,768
ABCDBEAB,768
ABCDBAEB,768
ABCADEFA,760
ABCDBEFA,760
ABCDAEFA,760
ABCDECFA,760
ABCDEBFA,760
ABCDEFDA,760
ABCDEFCA,760
ABCDABEA,756
ABCDBCEA,756
ABCDABEC,756
ABCDEACD,756
ABCDEACB,756
ABCABDEC,756
ABCABDEA,756
ABCDEABD,756
ABCDEABE,756
ABCADEBA,756
ABCADECA,756
ABCADECB,756
ABCADEBC,756
ABCDEADE,756
ABCDEADC,756
ABCDAEBA,756
ABCDAEBC,756
ABCDEBCA,756
ABCDAEDA,756
ABCDAEDC,756
ABCDECDA,756
ABCDEBAE,756
ABCDEBAC,756
ABCDBAED,756
ABCDBAEC,756
ABCDACEA,732
ABCDEFAB,732
ABCDBECA,732
ABCDEBDA,732
ABCDBEDA,732
ABCDAECA,732
ABCADCEA,732
ABCADBEA,732
ABCDEAFC,728
ABCDEAFD,728
ABCDACEB,728
ABCDACED,728
ABCDAEFC,728
ABCADEBD,728
ABCDEADB,728
ABCADECD,728
ABCDEACE,728
ABCDAEBD,728
ABCDECAD,728
ABCDECAE,728
ABCDBEAD,728
ABCDAEDB,728
ABCDBEAC,728
ABCADCEB,728
ABCADCED,728
ABCADBEC,728
ABCADBED,728
ABCDEAFB,720
ABCDEAFE,720
ABCADEFB,720
ABCADEFC,720
ABCADEFD,720
ABCDEFAE,720
ABCDEFAD,720
ABCDEFAC,720
ABCDAEFB,720
ABCDAEFD,720
ABCADEFG,640
ABCDEFGE,640
ABCDABCD,528
ABCADCAB,428
ABCDABDA,428
ABCDABDC,428
ABCADCBA,428
ABCADCAD,428
ABCDABCA,428
ABCADBAC,428
ABCADBAD,428
ABCDBCDA,428
ABCDACBA,428
ABCABCDB,428
ABCABCDA,428
ABCDACDA,428
ABCDBCAB,428
ABCABDAC,428
ABCABDAB,428
ABCABDCA,428
ABCABDCB,428
ABCDBADB,428
ABCADBCA,428
ABCDBACB,428
ABCDBACD,428
ABCDBADC,428
ABCDEAFG,408
ABCADCBD,408
ABCDACBD,408
ABCDACDB,408
ABCDBCAD,408
ABCADBCD,408
ABCDEFGC,408
ABCABCAB,234
ABCDEFAG,198
ABCDEFGB,198
AB,135
ABC,95
ABCD,42
ABCDEFGA,14
ABCDEFG,5
ABCDE,4
